product_id, brand, desc, size, original_price, new_price, price_change
5780538,Acronym  Bape  Highsnobiety,Sticker sheet (8 pieces) contained in Highsnobiety Issue 16 (Bape, , Noah..),os,$35,$31,11.43%
7233671,Acronym  Nike, x Nike Lunar Force Black/White,12,$320,$259,19.06%
4295625,Acronym,SS-j25,l,$750,$675,10.0%
5671574,Acronym,J56-S,m,$1400,-,
4044953,Acronym, x Stephen Platt,xl,$800,$471,41.13%
8321283,Acronym,J56-S,m,$1700,-,
7308682,Acronym  Nike, Nike Lunar Force 1 LF1 SP,8,$900,$810,10.0%
7519079,Acronym  Nemen,S6C,l,$400,$261,34.75%
1678035,Acronym  Nike,Air Presto Bamboo XXS,7.5,$600,$540,10.0%
6764641,Acronym,S21-DS ACR-SS-18,s,$1100,-,
6504428,Acronym,3A-3TS,os,$1200,$1080,10.0%
5954141,Acronym,3a-3ts,os,$1200,-,
2344481,Acronym  Nike,Air Presto Mid,9.5,$1000,$900,10.0%
2517787,Acronym  Edition Japan,FASHION　2017.05.19 BLAME! x ® by Edition 夢のコラボ実現,s,$240,-,
8484876,Acronym,3A-3TS messengers bag,os,$550,-,
8071110,Acronym  Nike,White  Air Force 1 White,11,$265,$238,10.19%
6886252,Acronym  Hypebeast, x ROBORACE HYPEFEST [SZ XL] BLACK T SHIRT TEE BLACK HOODIE PINK #1 #2 XLARGE,xl,$150,-,
7803569,Acronym  Nike,Nike  Bamboo Prestos Size Medium,10.5,$475,-,
5782889,Acronym, SP-1TS-S Brand new SS10 Dust,30,$670,$603,10.0%
5052907,Acronym  Nike, x Air VaporMax Moc 2 ‘Light Bone’,7.5,$220,-,
2517766,Acronym  Edition Japan,FASHION　2017.05.19 BLAME! x ® by Edition 夢のコラボ実現,s,$250,-,
7695745,Acronym  Nike,Nike  Presto " NikeLab Air Presto Mid X  Bamboo ",8.5,$700,$459,34.43%
7972203,Acronym  Nike,Lunar Force 1 SP SZ US 10,10,$450,$364,19.11%
7953379,Acronym  Nike,Nike  Presto Mid Dynamic Yellow,12,$200,$145,27.5%
8144865,Acronym  Nike,Nike x  Presto - XS,8.5,$400,-,
6610791,Acronym  Nike,Air Force 1 Downtown HI SP,11,$300,$243,19.0%
6885376,Acronym  Nike,AF1 Lunar SP,11.5,$750,$607,19.07%
5064714,Acronym  Nike, Vapormax FK Moc 2 White DS,9.5,$445,-,
